Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
0,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-01-22,AJPW New Year Giant Series 2023 - Tag 5,504,https://www.cagematch.net/?id=1&nr=360239
1,All Japan Pro Wrestling,"Chiba, Japan",2AW Square,2023-01-15,AJPW New Year Giant Series 2023 - Tag 4,158,https://www.cagematch.net/?id=1&nr=360267
2,All Japan Pro Wrestling,"Yokohama, Kanagawa, Japan",Hodogaya Public Hall,2023-01-11,AJPW New Year Giant Series 2023 - Tag 3,258,https://www.cagematch.net/?id=1&nr=359628
3,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-01-03,AJPW New Year Giant Series 2023 - Tag 2,"1,041",https://www.cagematch.net/?id=1&nr=359037
4,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-01-02,AJPW New Year Giant Series 2023 - Tag 1,"1,055",https://www.cagematch.net/?id=1&nr=358974
5,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-02-27,AJPW Excite Series 2023 - Tag 4,171,https://www.cagematch.net/?id=1&nr=362325
6,All Japan Pro Wrestling,"Maebashi, Gunma, Japan",Japan Toter Green Dome Maebashi Sub Arena,2023-02-26,AJPW Excite Series 2023 - Tag 3,658,https://www.cagematch.net/?id=1&nr=362324
7,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-02-19,AJPW Excite Series 2023 - Tag 2: Pro-Wrestling Day MANIAx,"1,405",https://www.cagematch.net/?id=1&nr=361909
8,All Japan Pro Wrestling,"Hachioji, Tokyo, Japan",Esforta Arena Hachioji Subarena,2023-02-04,AJPW Excite Series 2023 - Tag 1: Excite MANIAx,"1,398",https://www.cagematch.net/?id=1&nr=360875
9,All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-03-26,AJPW Dream Power Series 2023 - Tag 4,240,https://www.cagematch.net/?id=1&nr=363633
10,All Japan Pro Wrestling,"Tokyo, Japan",Ota City General Gymnasium,2023-03-21,AJPW Dream Power Series 2023 - Tag 3,"1,776",https://www.cagematch.net/?id=1&nr=363457
11,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-03-18,AJPW Dream Power Series 2023 - Tag 2,713,https://www.cagematch.net/?id=1&nr=363231
12,All Japan Pro Wrestling,"Tokyo, Japan",Shinjuku FACE,2023-03-14,AJPW Dream Power Series 2023 - Tag 1,529,https://www.cagematch.net/?id=1&nr=363065
13,All Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-04-30,AJPW Champion Carnival 2023 - Tag 8,814,https://www.cagematch.net/?id=1&nr=366285
14,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-04-25,AJPW Champion Carnival 2023 - Tag 7,753,https://www.cagematch.net/?id=1&nr=365980
15,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Dream Messe Miyagi West Building Hall,2023-04-23,AJPW Champion Carnival 2022 - Tag 6,419,https://www.cagematch.net/?id=1&nr=365848
16,All Japan Pro Wrestling,"Niigata, Japan",Nishikawa Multipurpose Hall,2023-04-22,AJPW Champion Carnival 2023 - Tag 5,496,https://www.cagematch.net/?id=1&nr=365735
17,All Japan Pro Wrestling,"Hamamatsu, Shizuoka, Japan",Act City Hamamatsu,2023-04-16,AJPW Champion Carnival 2023 - Tag 4,479,https://www.cagematch.net/?id=1&nr=365443
18,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya International Conference Hall,2023-04-15,AJPW Champion Carnival 2023 - Tag 3,935,https://www.cagematch.net/?id=1&nr=365240
