Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
0,All Japan Pro Wrestling,"Tokyo, Japan",Differ Ariake,2013-09-27,AJPW Thanks A Lot,"ca, 300",https://www.cagematch.net/?id=1&nr=101296
1,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya International Conference Hall,2013-09-23,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 8,607,https://www.cagematch.net/?id=1&nr=101088
2,All Japan Pro Wrestling,"Hashimoto, Wakayama, Japan",Wakayama Prefectural Hashimoto Gymnasium,2013-09-21,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 7,220,https://www.cagematch.net/?id=1&nr=101086
3,All Japan Pro Wrestling,"Toyohashi, Aichi, Japan",Toyohashi City Gymnasium,2013-09-19,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 6,Attendance not available.,https://www.cagematch.net/?id=1&nr=101058
4,All Japan Pro Wrestling,"Izumo, Shimane, Japan",Izumo Gymnasium,2013-09-17,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 5,Attendance not available.,https://www.cagematch.net/?id=1&nr=101010
5,All Japan Pro Wrestling,"Okayama, Japan",Okayama Wholesale Center Orange Hall,2013-09-16,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 4,Attendance not available.,https://www.cagematch.net/?id=1&nr=100904
6,All Japan Pro Wrestling,"Osaka, Japan",Bodymaker Colosseum #2,2013-09-15,AJPW Royal Road Tournament 2013 ~ Open Championship - Tag 3,731,https://www.cagematch.net/?id=1&nr=100882
7,All Japan Pro Wrestling,"Tokyo, Japan",Ryogoku Kokugikan,2013-10-27,AJPW Anniversary Tour 2013 - Tag 9,"2,563",https://www.cagematch.net/?id=1&nr=101218
8,All Japan Pro Wrestling,"Takaoka, Toyama, Japan",Takaoka Ecoeur,2013-10-23,AJPW Anniversary Tour 2013 - Tag 8,159,https://www.cagematch.net/?id=1&nr=102514
9,All Japan Pro Wrestling,"Sanjo, Niigata, Japan",Sanjo City Sakae Gymnasium,2013-10-22,AJPW Anniversary Tour 2013 - Tag 7,Attendance not available.,https://www.cagematch.net/?id=1&nr=101217
10,All Japan Pro Wrestling,"Tsukidate, Fukushima, Japan",Tsukidate-machi Sports Park Gymnasium,2013-10-20,AJPW Anniversary Tour 2013 - Tag 6,Attendance not available.,https://www.cagematch.net/?id=1&nr=102375
