Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-03,AJPW New Year Giant Series 2024 - Tag 2,"1,331",https://www.cagematch.net/?id=1&nr=384461
All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-02,AJPW New Year Giant Series 2024 - Tag 1,"1,008",https://www.cagematch.net/?id=1&nr=384346
New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-24,NJPW Road To The New Beginning 2024 - Tag 2,Attendance not available.,https://www.cagematch.net/?id=1&nr=380021
New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-23,NJPW Road To The New Beginning 2024 - Tag 1,Attendance not available.,https://www.cagematch.net/?id=1&nr=380020
New Japan Pro Wrestling,"Nagoya, Aichi, Japan",Aichi Prefectural Gymnasium,2024-01-20,NJPW The New Beginning In Nagoya 2024,Attendance not available.,https://www.cagematch.net/?id=1&nr=379992
New Japan Pro Wrestling,"Tokyo, Japan",Sumida City Gymnasium,2024-01-05,NJPW New Year Dash !! 2024,Attendance not available.,https://www.cagematch.net/?id=1&nr=379470
New Japan Pro Wrestling,"Tokyo, Japan",Tokyo Dome,2024-01-04,NJPW Wrestle Kingdom 18 In Tokyo Dome,Attendance not available.,https://www.cagematch.net/?id=1&nr=370093
Pro Wrestling NOAH,"Tokyo, Japan",Ariake Arena,2024-01-02,NOAH The New Year 2024,"5,135",https://www.cagematch.net/?id=1&nr=384350
DDT Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-03,DDT D-Ou Grand Prix 2023 The Final,Attendance not available.,https://www.cagematch.net/?id=1&nr=384449
Pro Wrestling FREEDOMS,"Tokyo, Japan",Shin-Kiba 1st RING,2024-01-03,FREEDOMS Happy New FREEDOM 2024,266,https://www.cagematch.net/?id=1&nr=384458
Big Japan Pro-Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2024-01-03,BJW Baka Gaijin Strikes Back,303,https://www.cagematch.net/?id=1&nr=384459
Big Japan Pro-Wrestling,"Tokyo, Japan",Korakuen Hall,2024-01-02,BJW 2024 New Year Battle Beginning,607,https://www.cagematch.net/?id=1&nr=381058
Pro Wrestling ZERO1,"Tokyo, Japan",Korakuen Hall,2024-01-01,ZERO1 Happy New Year & Do Your Best! Shinjiro Otani Aid 2024,Attendance not available.,https://www.cagematch.net/?id=1&nr=381012
Ice Ribbon,"Saitama, Japan",Ice Ribbon Dojo,2024-01-03,Ice Ribbon New Ice Ribbon #1322 ~ New Year Dojo Match,67,https://www.cagematch.net/?id=1&nr=384475
