Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
0,All Japan Pro Wrestling,"Fukuoka, Japan",Zepp Fukuoka,2003-04-29,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 3,730,https://www.cagematch.net/?id=1&nr=177650
1,All Japan Pro Wrestling,"Osaka, Japan",Zepp Osaka,2003-04-27,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 2,"ca, 850",https://www.cagematch.net/?id=1&nr=177649
2,All Japan Pro Wrestling,"Osaka, Japan",Zepp Osaka,2003-04-26,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 1,"ca, 650",https://www.cagematch.net/?id=1&nr=177648
3,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
4,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
5,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
6,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
7,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
8,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
9,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
